cluster,abortion,immigration,redistribution,environment,health,defense,religion,racial_disparity,efficacy_trust_corrupt,democracy,vaccines,israel_aid,ukraine_aid,gay_rights,trans_rights,minority_rep,dei_affirmative,threat
0,-0.3675951891396895,-0.558803291063088,-0.21744464194114185,-0.23817288010049076,-0.23736783451740537,0.13596848024053812,-0.36283101264094325,-0.03235249830444476,0.042702877596423536,-0.031443212831108854,0.02264990508829235,0.039993948741862614,0.14579244848578501,,-0.38922904665457003,-0.6114706248215678,-0.4477688213283477,-0.6611201820009035
1,-0.35523133188629163,-0.23258116978790966,0.030229517882282602,-0.34818650430851605,-0.21405839681267247,-0.2328549050676699,-0.5519675703861675,0.019601862182435602,-0.09621684097893486,-0.26489719215333196,-0.29769694678633973,0.09290190279160827,0.5326530752844666,,-0.16072563034526285,0.6140321929388854,0.396728137388216,0.17945136843406784
2,-0.11142742281495539,0.21217879176765067,0.049521369441961526,0.8661123152712593,1.425847801257626,1.4797259733163628,-0.2006071666697431,0.10188722728462936,-0.049631413281191465,-0.20087475937998145,-0.4049901507634892,-0.014860451777940603,0.058163266841407234,,0.13587288791990004,0.2431580309021284,0.06655949040616846,-0.2573868209329745
3,-0.49892270902101576,-0.7982216421193221,-0.3835037777727501,-0.6059195440884791,-0.27804142331316134,-0.2535265433642937,-0.2006071666697431,0.06756928208289656,0.1623301338507258,-0.2631099391772222,-0.6425679595700345,0.07153522904074945,0.5276053113648596,,-0.9209156234739828,-0.8349791869354655,-1.3215917440762204,-0.0018086988330383302
4,2.3625464266331972,0.1345952505039586,-0.023905287830950802,1.3444050977288675,2.7180846532177454,2.1106372089171783,0.031141184717685844,0.1414113468846625,-0.49590840829296085,0.1740491871469814,-0.10801788975530757,-0.4015839754425532,-0.536463322888299,,0.17389454384832723,0.2500363879833013,-0.6021194484795761,-0.4739892751454342
5,0.045524562285870734,0.20602275243154203,0.16814546429615412,0.08173233654670757,-0.12224921646772588,-0.25365863776690306,0.23239633197518986,0.0010439630236808572,-0.05734427460363625,-0.18162638829935604,-0.19242053235763293,0.06655502688829365,-0.21526613453014742,,0.2671948315162597,-0.55633100316845,0.5583744040443908,0.13713675049888552
6,0.5459900370169517,0.0792321118908469,-0.041753408205534706,0.42707844973191594,0.6353798507248609,0.4656618854624832,-0.2676922157555777,-0.04064167003858548,-0.06235631838656445,2.3340070351244013,0.35775965645752467,-0.10609198106350802,-0.5183445071347622,,0.0803424113244854,0.29638316279079724,-0.1359403393525888,-0.29985280604373077
7,-0.04809449518395562,0.5546764463313169,0.06809420274943458,0.12666009659268673,0.02918082041936489,-0.07689274692465836,-0.2330519358639831,0.11042168782436629,-0.23101915746547882,-0.29072736227561363,-0.2434372407750384,-0.0003788900407125695,0.4061763025147932,,0.3169836775371117,0.6208477846384565,0.5367142564972007,0.031201057177458223
8,0.21210974318665865,0.5895912132567653,0.2664040060543067,0.31453387346339856,-0.009236655247876417,0.01596168305628487,-0.3164813423634575,0.05716143723561101,0.7877806384535304,0.4702008720172189,0.723504441067601,-0.466786958245294,-1.0059053674117513,,0.5162007011811619,0.5480828305895417,0.5407048474115883,-0.03569400065690525
9,2.385306506276072,0.15223361402617364,-0.13742684963262153,0.3372019668355505,0.27820681844213013,0.6892078520792261,0.3092392063826005,0.10383870454219116,-0.062282866717236374,-0.4190147469907224,-0.5000212742861073,-0.2880353663665605,-0.48013027754548465,,0.27191991755156214,0.2461098990043953,-0.1577572368117976,-0.17338531918829725
10,0.16439382438171657,0.3564673241825598,0.2963332596719049,0.2877583305165102,-0.08878622821819156,-0.18520209823882514,-0.08473299097602861,-0.04140318237542694,0.12359122895755273,-0.1942521614957811,-0.46978409861981973,0.06293306168650757,-0.027189832162856795,,0.6472922135754917,0.6875252682857892,0.5917441291411735,-0.3741494111681923
11,-0.06256773892999812,0.07692437342893521,-0.29514426124287296,0.058672939008939655,0.04021582659011802,0.24173136676959306,-0.00046086319878177207,0.01370130726335887,0.09732977975890235,0.0019833233548119723,0.005371518993270869,0.09045999722008155,0.29146173745306225,,0.10341262913081993,-0.0888964142019775,-1.2043748118353734,-0.20805623676911467
12,0.35127554246399445,0.8564478768638616,0.4503505349381951,0.4841998236285044,-0.14253507506063404,-0.26010266742934546,-0.2052421336974916,-0.002510355120238292,-0.2377255983533887,-0.27510261670133757,-0.09431147770877611,0.34084923774662934,0.26519924545175033,,0.8560782819392875,0.7548012567832284,0.790922634383436,0.5471333126295564
13,0.4494050843805343,0.6022915506616043,0.3647834141756836,0.41749887717136464,-0.11251249766221634,-0.23804565665747462,1.0167532909124568,-0.0259190584275885,0.33436749412387995,-0.2761073681508394,0.5425585518021508,0.971561994778753,-0.32990882329797994,,0.7398539145006949,0.5783136446395535,0.6791045180476509,0.29755776023149566
14,-0.3721770864413127,-0.5214281899057206,-0.21122063691395856,-0.5253873197950807,-0.21738356713755919,-0.24960517511435618,-0.0533278405543677,-0.02189435148159379,-0.8806416522829168,-0.34032351888875345,-0.4160919175301503,0.10696311259921475,0.8576909753756894,,-0.650767486367451,-0.4910554858683022,-0.5014414038556518,0.12061393895036747
15,-0.45870057482696236,-0.5796570806846788,-0.23082176743626498,-0.5414742904843597,-0.2428981928481238,-0.17379757155438544,-0.338207750306029,-0.08463786236266001,-0.01037091716481449,-0.16895128630405673,-0.5993719943324809,-0.2582145195385221,0.2687009110519253,,-0.7176612644288933,-0.8063573712221004,0.19461629425216326,0.10463369520170387
16,-0.4160763412341359,-0.5195423399794058,-0.3439512885200293,-0.4620801738513025,-0.19107909474604487,-0.12138320220426427,-0.37855679362794736,-0.008211845810087739,0.48772587069736834,-0.06737661622079498,-0.1334726549845803,-1.1991277772858346,-0.3553928200006817,,-0.6864822809577636,-0.6219681288642342,-0.5708699466892694,-0.20196313062615096
