cluster,n_unweighted,pop_share_weighted,partyid_mean,vote_Harris,vote_Trump,vote_Kennedy,vote_West,vote_Stein,vote_Other,gender_Man,gender_Woman,gender_Nonbinary,gender_Other,age_18–29,age_30–44,age_45–59,age_60+,Abortion 7pt (legal→illegal),Abortion 7pt (permit always→never),Abortion 4pt (mapped cons-high),Unauth immigrants policy (cons-high),End birthright citizenship (cons-high),Border wall (cons-high),Gov services more↔fewer (cons-high),Guaranteed jobs vs own effort (cons-high),Welfare spending (↑→↓),Aid to poor (↑→↓),Environment vs business (cons-high),Gov action on temps (more→less = cons-high),Gov vs private insurance (cons-high),Defense spending (↓↔↑ = cons-high),Self ideology (1 lib … 7 cons),Religious attendance (never→weekly),Importance: climate (inv),Importance: guns,Importance: abortion,Importance: crime,V242184,V242185,V242186,V242187
0,1130,23.3,1.733594637340594,97.1,0.5,1.3,0.2,0.3,0.6,46.1,47.6,6.2,0.1,23.1,27.9,20.3,28.7,1.7848525769776988,1.9321225405776963,1.3517668027494802,1.705142004636956,1.6697864524928905,1.7612652635506043,91.78905405381322,5.162911475678516,1.74610225341747,1.3489712877606899,3.6481699984298332,1.3813502134751583,3.259748026817051,10.734503719359976,3.488198916963028,1.9231634129853192,4.486987854913658,1.7698749817006116,1.7409473419181114,2.5553188538648137,1.1949766587169226,,1.1611021961595114,2.566695294367781
6,1040,20.5,3.0848996107705013,72.8,19.2,3.5,1.1,0.6,2.8,45.4,53.8,0.1,0.7,15.7,22.0,25.0,37.3,2.334613170614179,3.034104543269731,2.1624908032598955,2.301097101058598,3.5336909695691103,3.7662604459057114,91.00941221701962,6.564745750219705,2.887803223610196,2.2467368146813427,7.610393557204478,2.1750041384343004,6.413356022945822,10.070266452435796,3.8862626816203774,1.9735487313045184,4.224705071883483,1.7491186152886744,1.7721195663682372,1.6361528693387284,1.9165009593496427,,2.090444986710707,4.8764254007373244
1,338,9.2,3.7234940984626355,48.3,43.9,3.6,0.5,0.8,2.9,33.1,66.8,0.0,0.1,19.4,23.7,22.7,34.1,2.266563540082024,3.321075265066441,2.8562815978895535,2.5118975239893095,3.6271346924052823,4.386342698361079,70.48303443661982,10.435726106029227,2.480132053716302,1.744646135264545,24.915994302398804,2.525918988641742,10.300245213524835,35.005878471172984,99.0,2.4397695491709457,3.967388421204213,1.9641533343263442,2.0911668940115398,1.4785289899723886,3.6229542286909413,,3.6399842385923464,4.408398652156899
7,288,6.1,4.109147531043598,40.8,52.7,3.4,0.5,0.0,2.6,34.7,64.4,0.2,0.8,30.2,24.6,22.4,22.7,2.5599286420974408,3.1585168263464056,2.780979183531563,2.6385071453156277,3.6646396730259685,4.516844075912667,42.50529011417856,68.59569583386909,2.881744876319919,2.2025722508169316,76.96387476819372,3.1680535335981133,50.54571184488571,64.87695998251085,33.17341200936583,1.9721403413273635,3.39023160591922,2.2494961128672575,2.2813241685506216,1.6664839952272172,3.2196744597123454,,3.5499706424132778,4.993033847086003
5,229,5.5,4.338870031477589,38.7,51.4,5.7,2.1,0.6,1.5,53.1,44.2,0.8,1.9,29.1,25.5,20.2,25.3,3.169115368670184,99.00000000000003,3.0617669358813964,2.7662139536620445,3.669043539134657,4.510100349044859,41.96874298863663,50.00883563234213,2.511497089940947,1.966649783286192,64.1446625041519,3.0788122319672095,51.81119969835436,51.48104713633631,54.843988415007175,2.3598153281113485,3.54706896318555,2.1883238260889812,2.573658740412728,1.7558667266182433,3.7590143320582614,,3.6555931649224673,4.875457649121135
3,700,15.2,5.068232672009064,14.1,72.0,7.6,0.2,0.4,5.7,60.6,38.9,0.2,0.4,18.5,32.8,24.1,24.6,3.286123502639279,4.363010519456131,3.0116244180827016,2.693454918573041,4.065078182955121,5.630784040491563,89.80498265956862,6.892371923076318,3.488533521310644,2.7799619526983625,13.059629142353838,3.8171673638479193,7.258516408005928,8.017832374988817,6.1810765145865245,1.8355108143861967,2.749627408311209,3.1574982661386426,3.3198139343171085,2.200308631986158,3.0770217598741625,,3.5761685732020454,5.813723466887343
2,195,6.8,5.6851109035534115,10.7,82.9,3.5,0.5,0.4,1.9,51.9,47.8,0.0,0.3,7.0,16.2,28.4,48.4,5.659883347636378,6.306970329542683,4.8403254959945805,3.0883870775284046,4.098628180092725,5.968209360636297,87.32384064864988,7.769094882863612,3.5494546071348387,2.764716372052341,16.22490430788667,4.272369689412993,6.330455323837621,14.078008392600223,14.884334479574328,4.377436041182411,2.7457218211205787,2.1887214547274505,2.0991484267566056,1.6552471415617203,4.256260970366049,,5.69464270633306,6.418586162329273
4,903,13.4,6.163121743640454,2.9,94.5,2.5,0.1,0.0,0.0,54.4,45.1,0.0,0.6,9.3,22.0,24.2,44.5,4.6955455650808675,6.693238445578509,4.501085851876035,3.369190556126307,4.775129952253442,6.620497453800495,88.88762890732254,7.006204803066265,3.9143766836864318,3.08913127552311,10.127869900766276,5.198160131345834,8.41468322160936,8.44381189581303,8.794591022145733,1.6957405910810655,2.1936653542620212,2.327543688206405,2.4058373337136882,1.3893128180396985,5.551176428177358,,6.373220559053397,6.690134933172096
